Feature ID	Taxon							Confidence
1013134	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Veillonellaceae	 Veillonella	 parvula	0.851425275
1015143	Bacteria	 Firmicutes	 Bacilli	 Gemellales	 Gemellaceae	 	 	0.999916368
1018784	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 	0.999250624
102195	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Veillonellaceae	 Veillonella	 dispar	0.947281931
1042479	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 melaninogenica	0.999998902
1050461	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 nigrescens	0.999999969
1052622	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micrococcaceae	 Rothia	 dentocariosa	0.99784301
1061162	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 	0.999176413
1065569	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Aerococcaceae	 Abiotrophia	 	0.998797729
1087878	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 	0.991804722
1088494	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 	0.888177266
1102876	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micrococcaceae	 Rothia	 	0.999993275
11330	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	 	0.999994337
284308	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Stenotrophomonas	 	0.999977305
330003	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 	0.999987741
336228	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Veillonellaceae	 Dialister	 	0.999999991
359079	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 anginosus	0.999676257
390336	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Staphylococcaceae	 Staphylococcus	 	0.95774356
400893	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 	0.996287341
4297407	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 pallens	0.999999008
4298767	Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Campylobacterales	 Campylobacteraceae	 Campylobacter	 	0.969086515
4308883	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Moryella	 	0.999997904
4315958	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 	0.996212967
4317049	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 	0.997034913
4319190	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	 	0.999993062
4320730	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 	0.999995747
4323231	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 	0.997412953
4331006	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 	0.999976811
4332020	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 [Paraprevotellaceae]	 [Prevotella]	 	0.999999523
4338372	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 	0.999997249
4342220	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 	0.999998806
4342642	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	 	0.999998701
4344343	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 	0.999999429
4349720	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 	0.999894174
4439743	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 	0.995198151
4442357	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 [Paraprevotellaceae]	 [Prevotella]	 tannerae	1
4447219	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 	0.999822737
4458501	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 [Tissierellaceae]	 Parvimonas	 	0.999999927
4468180	Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Campylobacterales	 Campylobacteraceae	 Campylobacter	 	0.994524803
4474702	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 [Mogibacteriaceae]	 Mogibacterium	 	0.999981856
4480189	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 zeae	0.794655831
502960	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 [Paraprevotellaceae]	 [Prevotella]	 tannerae	1
509149	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 vaginalis	0.763586431
514642	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Atopobium	 	0.988013199
514952	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 [Mogibacteriaceae]	 	 	0.999627155
524204	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Lachnoanaerobaculum	 orale	0.999995978
524725	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Atopobium	 rimae	0.949811027
527485	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptostreptococcaceae	 Peptostreptococcus	 	0.941172488
533765	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 	0.98779717
553352	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 	0.999986495
